cod,x1,y1,x2,y2
2905206,-42.7999,-14.4097,-42.1269,-13.5627
2905305,-41.6223,-11.8683,-41.3642,-11.5588
2905404,-39.0932,-13.6774,-38.891,-13.3721
2905503,-40.3895,-11.1626,-39.9902,-10.9106
2905602,-39.6433,-15.6145,-39.3637,-15.2686
2905701,-38.3758,-12.8807,-38.0302,-12.453
2905800,-39.3587,-14.1551,-38.9379,-13.8352
2905909,-43.606,-9.8269,-42.6884,-9.2608
2906006,-41.2779,-10.6835,-40.2273,-9.8363
2906105,-44.3421,-13.2304,-44.0976,-12.9698
2906204,-41.8614,-11.9216,-41.5891,-11.6092
2906303,-39.3683,-15.8504,-38.8936,-15.3715
2906402,-39.3077,-11.9908,-39.0607,-11.7682
2906501,-38.561,-12.7915,-38.3919,-12.5888
2906600,-42.9551,-14.5617,-42.7045,-14.2964
2906709,-41.4584,-15.545,-41.0314,-15.1187
2906808,-39.7729,-11.0004,-39.2108,-10.5386
2906824,-39.2668,-10.3805,-38.5758,-9.6257
2906857,-39.9686,-11.8254,-39.6815,-11.4782
2906873,-40.1448,-11.4495,-39.8618,-11.15
2906899,-41.4626,-14.8266,-41.0688,-14.4382
2906907,-40.2569,-17.9817,-38.6916,-17.4066
2907004,-38.0233,-12.1572,-37.8647,-11.9338
2907103,-44.1114,-14.3392,-43.5866,-13.7084
2907202,-41.9031,-9.7701,-40.6672,-8.7038
2907301,-39.5058,-12.9016,-39.2259,-12.5471
2907400,-44.9273,-12.4088,-44.4661,-12.1441
2907509,-38.539,-12.4323,-38.2722,-12.2187
2907558,-42.4458,-13.4022,-42.1581,-13.0597
2907608,-42.2583,-11.2612,-41.9263,-11.0222
2907707,-39.4466,-9.6457,-38.9524,-8.7316
2907806,-38.6561,-10.7095,-38.2199,-10.3334
2907905,-38.6168,-11.1696,-38.4332,-11.019
2908002,-39.7291,-14.7844,-39.5099,-14.5476
2908101,-46.1208,-15.2647,-44.3781,-13.8247
2908200,-39.0885,-12.5691,-38.877,-12.4397
2908309,-39.3562,-12.9774,-39.1175,-12.7412
2908408,-39.4864,-11.7639,-39.1195,-11.269
2908507,-38.8487,-12.3731,-38.6553,-12.2812
2908606,-37.8659,-12.099,-37.5128,-11.6294
2908705,-42.2931,-15.1871,-41.8061,-14.6602
2908804,-41.2416,-14.0494,-40.9102,-13.6091
2908903,-38.8919,-12.3388,-38.6582,-12.0957
2909000,-42.0701,-15.1757,-41.7809,-14.8873
2909109,-44.7995,-14.048,-44.0034,-13.5096
2909208,-38.1096,-10.4487,-37.7433,-10.1235
2909307,-46.2815,-14.0101,-44.3288,-12.9893
2909406,-44.6854,-12.1283,-43.837,-11.3457
2909505,-39.8774,-13.5204,-39.6952,-13.337
2909604,-38.3017,-11.6474,-37.9801,-11.3512
2909703,-44.5354,-12.3114,-43.9572,-12.0464
2909802,-39.2116,-12.7418,-39.0437,-12.6298
2909901,-39.986,-9.8438,-39.3512,-8.5328
2910008,-40.1038,-14.5398,-39.8224,-14.2435
2910057,-38.4089,-12.6771,-38.1316,-12.5357
2910107,-41.8642,-14.001,-41.5592,-13.6613
2910206,-39.2289,-12.9663,-39.1197,-12.849
2910305,-39.6228,-13.0222,-39.4587,-12.8539
2910404,-41.3619,-15.772,-40.5117,-15.2977
2910503,-38.2828,-12.4082,-37.7611,-11.7828
2910602,-38.1476,-12.2387,-37.6857,-11.6771
2910701,-39.2609,-10.6778,-38.5763,-10.2562
2910727,-39.8645,-16.5478,-39.3824,-16.0768
2910750,-38.2884,-10.7182,-38.1301,-10.4573
2910776,-44.4687,-14.2861,-44.029,-13.9264
2910800,-39.2967,-12.4185,-38.8112,-11.9814
2910859,-40.2826,-10.8599,-39.9954,-10.6086
2910909,-39.9766,-15.037,-39.8626,-14.8095
2911006,-39.8023,-14.9732,-39.6368,-14.7168
2911105,-46.5773,-11.606,-44.9419,-10.108
2911204,-39.5653,-13.8922,-39.3799,-13.7109
2911253,-39.9029,-11.5917,-39.6193,-11.3944
2911303,-42.9126,-11.7754,-42.2957,-11.0016
2911402,-38.6399,-9.5304,-38.2149,-8.957
2911501,-39.6966,-14.3696,-39.4403,-14.1844
2911600,-39.1786,-12.6353,-38.9905,-12.5405
2911659,-42.1783,-14.7402,-41.7933,-14.4194
2911709,-43.0701,-14.3961,-42.5801,-13.9824
2911808,-40.314,-16.7809,-39.6482,-16.2441
2911857,-38.3772,-10.8761,-38.2049,-10.6359
2911907,-40.4886,-13.0915,-39.787,-12.5124
2912004,-42.4632,-14.3923,-42.1722,-14.1707
2912103,-39.6643,-14.9285,-39.4714,-14.7697
2912202,-41.5474,-13.5237,-41.1047,-13.2244
2912301,-40.046,-14.9749,-39.6961,-14.3475
2912400,-42.3617,-11.8061,-41.9114,-11.2612
2912509,-42.5298,-13.049,-42.1677,-12.6871
2912608,-41.0074,-12.793,-40.7563,-12.451
2912707,-39.5335,-14.2415,-39.3303,-13.8759
2912806,-40.2402,-17.8567,-39.7125,-17.6225
2912905,-39.7102,-14.1321,-39.5097,-13.8572
2913002,-42.6557,-12.7285,-41.9838,-12.3769
2913101,-42.0444,-11.7597,-41.7714,-11.3812
2913200,-43.386,-12.3811,-42.9624,-11.5606
2913309,-39.2532,-11.7858,-39.0607,-11.6461
2913408,-42.9516,-14.0372,-42.5112,-13.6306
2913457,-39.4127,-14.0501,-38.9678,-13.7175
2913507,-40.2294,-14.8186,-39.8731,-14.479
2913606,-39.5506,-15.1123,-38.9961,-14.4196
2913705,-38.6049,-11.9699,-38.1853,-11.5574
2913804,-39.4384,-12.4363,-39.2294,-12.1821
