cod_mun,n_dom_amostra,n_pes_amostra,dom_pond,pop_pond,a11_adensamento,a12_proprio_quit,a13_alugado,a15_moradores,a15z_v005_familia,a16_com_criancas,a17_resp_mulher,a18_idade_resp,a2_agua_rede,a22_energia,a23_esgoto_adeq,a24_duravel,a25_urbano,a26_radio,a27_geladeira,a28_televisao,a29_automovel,a3_agua_dentro,a30_fogao_lenha,a4_esgoto_rede,a5_esgoto_inadeq,a7b_sem_banheiro,b1_alfabetizacao,b10_sem_instrucao,b11_alfab_resp,b1z_alfab_naonulo_15mais,b1z_alfab_naonulo_5a14,b1z_alfab_naonulo_geral,b2_analf_60mais,b3_freq_6a14,b3z_v036_igual_0,b4_freq_15a17,b8_superior_comp,c1_participacao,c13_beneficio,c2_desocupacao,c2z_v047_naonulo,c3_ocupacao,d3_envelhecimento,d5_pop_0a5,d6_pop_65mais,d7_razao_sexo,d7z_filhos_no_sexo_0,e1_nao_natural,e2_migrante_5anos,e3_estrangeiro,e4b_trab_estuda_outro_mun,f1_tamanho_familia
2412708,375,2205,1346,7817,56.54,78.97,2.38,5.79,5.6,79.82,12.06,45.92,0,3.42,0,98.22,17.68,25.71,1.26,0.3,0.67,0,87.07,0,17.61,82.39,31.06,75.56,24.47,100,100,81.99,93.81,36.17,0,28.24,0,45.3,0.1,0.43,30.01,45.11,0.08,21.18,3.57,0.99,0,24,8.82,0,0.36,5.46
2412807,454,2254,1611,8686,51.58,78.77,7.57,5.04,4.88,71.21,14.26,47.37,0,13.28,0,76.6,33.89,28.12,2.67,0,1.43,0,80.38,0,14.96,85.04,43.24,66.22,40.09,100,100,83.44,78.92,55.24,0,35.8,0.12,39.69,0.26,5.6,26.72,37.47,0.12,20.08,5.33,0.97,0,12.81,6.93,0,3.05,4.8
2412906,635,3556,2318,13111,48.06,47.24,8.41,5.57,5.49,75.42,12.18,45.8,0,6.77,0,60.22,27.35,27.31,2.37,0,0.86,0,88.74,0,22.99,77.01,23.62,80.44,21.23,100,100,83.3,89.62,45.3,0.07,25.51,0.19,43.13,0.32,0,29.4,43.09,0.1,20.25,4.7,0.98,0,14.77,4.34,0,0.26,5.33
2413003,203,922,817,4189,57.77,48.84,3.67,4.65,4.58,62.64,13.53,48.97,0,16.28,0,76.5,33.05,32.68,0.49,0,0,0,96.57,0,18.73,81.27,30.71,78.42,25.87,100,100,83.43,81.46,33.74,0,24.5,0,37,0.45,0.47,25.54,36.83,0.18,20.48,7.36,0.96,0,31.3,12.21,0,3.84,4.52
2413102,180,949,683,3687,49.05,52.27,1.76,5.27,5.05,78.97,8.44,45.44,0,0,0,67.5,16.69,20.5,0.59,0,0,0,75.99,0,17.42,82.58,23.67,78.62,18.5,100,100,80.63,83.88,32.86,0,24.42,0,45.89,0,0,29.86,45.89,0.1,22.24,4.7,1.04,0,14.21,6.4,0,0.3,5.05
2413201,90,485,319,1725,54.23,78.68,1.88,5.48,5.28,80.25,17.2,45.87,0.94,3.13,0,13.79,35.74,22.88,0,0,0.94,0,88.09,0,69.28,30.72,41.85,63.62,37.97,100,100,85.51,89.02,55.97,0,39.17,0,49.59,0,0,35.13,49.59,0.08,17.45,3.42,1.02,0,16.35,7.05,0,1.65,5.18
2413300,252,1407,945,5402,49.52,49.21,1.16,5.58,5.44,79.08,26.94,44.68,0,7.2,0,49.42,21.16,21.69,0.32,0,0.74,0,93.12,0,4.55,95.45,23.36,80.01,19.46,100,100,78.75,89.49,36.35,0,33.05,0,44.05,3.25,0.28,26.6,43.93,0.06,25.94,3.2,0.88,0,11.7,3.34,0,1.49,5.3
2413409,321,1791,1240,7631,45.48,34.6,3.95,5.61,5.48,75.17,16.31,46.84,4.84,9.76,0.89,58.15,21.45,24.11,1.13,0,1.13,1.21,89.35,0,15.97,83.15,30.72,72.48,24.93,99.9,100,81.85,85.84,39.45,0.06,26.88,0.14,40.88,0.16,0,27.22,40.88,0.12,21.24,5.58,1,0,6.34,2.75,0,3.56,5.32
2413508,376,2175,1355,7761,51.59,75.79,0.22,5.76,5.74,77.37,9.71,44.07,0.96,0.3,0.74,50.18,7.45,20.74,1.25,0,1.48,0.74,85.24,0,6.49,92.77,27.48,78.76,23.81,100,100,81.82,93.87,32.3,0,31.3,0,41.6,0.38,4.26,27.84,39.83,0.08,20.96,3.88,0.98,0,8.03,1.17,0,0,5.67
2413607,237,1353,796,4961,57.54,59.42,1.63,5.78,5.68,82.52,6.81,42.54,0,0.75,0,80.28,8.42,27.64,1.13,0,0.38,0,95.48,0,5.4,94.6,45.75,63.38,37.05,100,100,79.38,72.04,64.33,0,36.64,0,41.54,0,0.54,26.22,41.32,0.08,24.61,4.25,1.04,0,13.26,6.73,0,2.91,5.63
